G:\Code\DarkSoulsMods\soulstruct-git\venv\Scripts\python.exe G:/Code/DarkSoulsMods/soulstruct-git/soulstruct/__main__.py
FOG_BANK 0 | s16 | s16 | fogBeginZ | 開始距離[m] | フォグの開始距離です
FOG_BANK 1 | s16 | s16 | fogEndZ | 終了距離[m] | フォグの終了距離です
FOG_BANK 2 | s16 | s16 | degRotZ | ダミー | ダミー
FOG_BANK 3 | s16 | s16 | degRotW | 強度 | 通常100にしてください(0だとフォグが掛かりません)
FOG_BANK 4 | s16 | s16 | colR | Ｒ | フォグカラー
FOG_BANK 5 | s16 | s16 | colG | Ｇ | フォグカラー
FOG_BANK 6 | s16 | s16 | colB | Ｂ | フォグカラー
FOG_BANK 7 | s16 | s16 | colA | RGB倍率[％] | フォグカラーの倍率(100が標準)
LIGHT_BANK 0 | s16 | s16 | degRotX_0 | X角度 | 平行光源：０
LIGHT_BANK 1 | s16 | s16 | degRotY_0 | Ｙ角度 | 平行光源：０
LIGHT_BANK 2 | s16 | s16 | colR_0 | Ｒ | 平行光源：０
LIGHT_BANK 3 | s16 | s16 | colG_0 | Ｇ | 平行光源：０
LIGHT_BANK 4 | s16 | s16 | colB_0 | Ｂ | 平行光源：０
LIGHT_BANK 5 | s16 | s16 | colA_0 | RGB倍率[％] | 平行光源：０
LIGHT_BANK 6 | s16 | s16 | degRotX_1 | X角度 | 平行光源：１
LIGHT_BANK 7 | s16 | s16 | degRotY_1 | Ｙ角度 | 平行光源：１
LIGHT_BANK 8 | s16 | s16 | colR_1 | Ｒ | 平行光源：１
LIGHT_BANK 9 | s16 | s16 | colG_1 | Ｇ | 平行光源：１
LIGHT_BANK 10 | s16 | s16 | colB_1 | Ｂ | 平行光源：１
LIGHT_BANK 11 | s16 | s16 | colA_1 | RGB倍率[％] | 平行光源：１
LIGHT_BANK 12 | s16 | s16 | degRotX_2 | X角度 | 平行光源：２
LIGHT_BANK 13 | s16 | s16 | degRotY_2 | Ｙ角度 | 平行光源：２
LIGHT_BANK 14 | s16 | s16 | colR_2 | Ｒ | 平行光源：２
LIGHT_BANK 15 | s16 | s16 | colG_2 | Ｇ | 平行光源：２
